VideoPath,URL,PersonID,Size,Frame number in 60-210
003/_7oWZq_s_Sk.mp4/0014_0149_0003_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/_7oWZq_s_Sk.mp4/0014_0149_0003.mp4,0,0.493,1
003/_7oWZq_s_Sk.mp4/0258_0134_0007_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/_7oWZq_s_Sk.mp4/0258_0134_0007.mp4,1,1.01,1
003/_7oWZq_s_Sk.mp4/0523_0199_0004_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/_7oWZq_s_Sk.mp4/0523_0199_0004.mp4,1,1.02,1
003/_7oWZq_s_Sk.mp4/0616_0254_0001_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/_7oWZq_s_Sk.mp4/0616_0254_0001.mp4,0,0.741,0
003/053oq2xB3oU.mp4/0062_0241_0001_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/053oq2xB3oU.mp4/0062_0241_0001.mp4,0,0.98,0
003/053oq2xB3oU.mp4/0175_0237_0002_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/053oq2xB3oU.mp4/0175_0237_0002.mp4,1,1.11,0
003/2PpxiG0WU18.mp4/0095_0186_0002_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2PpxiG0WU18.mp4/0095_0186_0002.mp4,1,0.45,1
003/2PpxiG0WU18.mp4/0115_0232_0002_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2PpxiG0WU18.mp4/0115_0232_0002.mp4,0,0.753,0
003/2PpxiG0WU18.mp4/0117_0252_0002_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2PpxiG0WU18.mp4/0117_0252_0002.mp4,0,0.838,0
003/2PpxiG0WU18.mp4/0239_0201_0001_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2PpxiG0WU18.mp4/0239_0201_0001.mp4,0,0.427,1
003/2qQs3Y9OJX0.mp4/0117_0218_0002_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2qQs3Y9OJX0.mp4/0117_0218_0002.mp4,1,0.852,0
003/2qQs3Y9OJX0.mp4/0257_0129_0001_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2qQs3Y9OJX0.mp4/0257_0129_0001.mp4,0,0.488,1
003/2qQs3Y9OJX0.mp4/0543_0207_0001_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2qQs3Y9OJX0.mp4/0543_0207_0001.mp4,0,1.82,1
003/2qQs3Y9OJX0.mp4/0581_0250_0002_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/2qQs3Y9OJX0.mp4/0581_0250_0002.mp4,1,1.74,0
003/32HR3MnDZ8g.mp4/0132_0152_0002_Person1.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/32HR3MnDZ8g.mp4/0132_0152_0002.mp4,1,0.614,1
003/32HR3MnDZ8g.mp4/0415_0147_0001_Person0.mp4,https://cydar.ist.psu.edu/bodyemotionstudy/videos/003/32HR3MnDZ8g.mp4/0415_0147_0001.mp4,0,0.537,1
